,专业本科,专业研究生,专业考试,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,公共管理类,公共管理类,综合管理,二年,学士,本科及以上,1,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610001,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。能吃苦耐劳、甘于奉献，热爱机要工作,具备一定的调查研究能力，有较强的文字综合、沟通协调能力,,False,0,False,0,1
1,"经济学类,金融学类",经济学,经济管理,二年,学士,本科及以上,2,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610002,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。能吃苦耐劳、甘于奉献，热爱机要工作,具备经济调查研究分析能力，较强的文字综合、沟通协调能力,,False,0,False,0,1
2,环境科学与工程类,环境科学与工程类,城市建设管理,二年,学士,本科及以上,3,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610003,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。能吃苦耐劳、甘于奉献，热爱机要工作,具备城市环境综合分析研究能力，较强的文字综合、沟通协调能力,,False,0,False,0,1
3,"计算机类,电子信息类","信息与通信工程类,计算机科学与技术类",信息管理,二年,学士,本科及以上,4,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610004,主任科员及以下,有较好的政治素质，较强的责任心和大局意识。有较强的信息技术能力，能够承担信息系统和网络运行维护等工作,,有信息系统和网络运行工作经历者优先,False,0,False,0,1
4,"会计学,财务管理",会计学,财务管理,二年,学士,本科及以上,5,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1610005,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。能够承担会计和财务管理等工作,有会计或财务管理相关工作经历，具备一定的文字功底，有较强的沟通协调能力，熟练掌握计算机操作,,False,0,False,0,1
5,"新闻传播学类,中国语言文学类,公共管理类","新闻传播学类,中国语言文学类,公共管理类",综合管理,二年,学士,本科及以上,6,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,办公室,1610006,文秘（主任科员及以下）,从事信息、文稿写作，公文办理等工作,工作严谨认真、责任心强；具有较强的文稿起草能力，熟悉机关公文办理；善于沟通、联络，具有较强的组织协调能力；能够熟悉运用计算机办公。,学位为硕士以上的，亦要求有学士学位。,False,0,False,0,1
6,"管理学,法学类,文学","管理学,法学类,文学",综合管理,二年,学士,本科及以上,7,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,干部处,1610007,干部人事管理（主任科员及以下）,参与干部人事管理、行政事务等工作，起草相关文件及调研报告,熟悉干部人事工作的政策、法规和业务知识；具有相关工作经验；有较强的文字综合能力、语言表达能力和组织协调能力,学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
7,,"哲学,政治学类,社会学类",综合管理,二年,硕士,硕士研究生及以上,8,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,理论处,1610008,综合管理职位（主任科员及以下）,协调组织理论研究和理论宣传，分析掌握理论动态，组织开展理论研讨活动等,熟悉马克思主义基本理论及中国特色社会主义理论，具有较高的理论水平和文字功底,,False,0,False,0,1
8,,不限,综合管理,二年,硕士,硕士研究生及以上,9,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,研究室,1610009,综合管理职位（主任科员及以下）,从事重要文稿起草、课题调研、报告撰写等工作,具有较高的政治理论素质和文字写作水平,,False,0,False,0,1
9,,不限,综合管理,二年,硕士,硕士研究生及以上,10,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,舆情处,1610010,社会舆情分析（主任科员及以下）,收集政治、经济、社会、文化等领域的重要舆情信息，进行科学分析研判，提出决策建议,具有较强的社会调查能力，较高的文字写作水平,有相应工作经验者优先,False,0,False,0,1
10,"经济学,法学","经济学,法学,企业管理",经济管理,二年,学士,本科及以上,11,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,国有资产监督管理办公室,1610011,国有资产监督管理（主任科员及以下）,从事国有资产监督管理、处室内勤等工作,无,学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
11,"审计学,财务管理,会计学","企业管理,行政管理,会计学",财务管理,二年,学士,本科及以上,12,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,审计室,1610012,专职审计（主任科员及以下）,从事内部审计项目主审；协调委托中介机构的审计项目；部门内勤；及领导交办的其他工作,具有较强的组织协调沟通能力，良好的团队协作能力和独立分析判断能力；良好的书面报告撰写能力和语言表达能力；能承受一定工作压力；能熟练使用办公软件,具有政府审计工作经验、会计师事务所工作经验、企业内部审计工作经验者优先；学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
12,英语,不限,综合管理,二年,学士,本科及以上,13,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）事业处,1610013,综合管理岗位（副主任科员及以下）,从事对外交流、文字工作,英语运用熟练，口语表达流利,学历为硕士研究生以上的，本科阶段必须为英语专业；有英语中高级口译证书者优先；学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
13,,"计算机科学与技术类,信息与通信工程类",信息管理,二年,硕士,硕士研究生及以上,14,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络安全和信息化协调处,1610014,网络安全和信息化推进（主任科员及以下）,从事网络安全信息收集、事件处置、安全检查及安全体系建设；信息化发展的规划、协调组织工作,具备网络与信息安全从业经验,需要通宵值班；本科阶段所学专业应与该职位要求专业一致,False,0,False,0,1
14,不限,不限,综合管理,二年,学士,本科及以上,15,5,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络管理处,1610015,互联网信息内容管理（主任科员及以下）,从事互联网信息内容管理工作,,需要通宵值班；新闻、法律、行政管理、计算机等专业优先；学位为硕士以上的，亦要求有学士学位,False,0,False,0,5
15,,"信息与通信工程类,计算机科学与技术类",信息管理,二年,硕士,硕士研究生及以上,16,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络技术处,1610016,网络技术研究和管理(主任科员及以下),从事信息化项目建设及运行维护；互联网新业务、新技术、新应用的跟踪研究及安全管理,有大型信息化项目建设和管理经验,需要通宵值班；本科阶段所学专业应与该职位要求专业一致,False,0,False,0,2
16,不限,不限,信息管理,二年,学士,本科及以上,17,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络新闻信息传播处,1610017,网络宣传（主任科员及以下）,从事网络正面宣传、活动组织、网络评论等工作,工作严谨细致、责任心强，善于沟通、联络，具有较强的组织协调、文字写作和口头表达能力,需要通宵值班；学位为硕士以上的，亦要求有学士学位,False,0,False,0,2
17,不限,不限,综合管理,二年,学士,本科及以上,18,2,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）网络舆情处,1610018,网络舆情监测、研判、编辑（主任科员及以下）,从事网络舆情监测、研判等工作,有较好的政治素质、较强责任心和较扎实的文字功底,需要通宵值班；新闻、法律、行政管理、计算机等专业优先；学位为硕士以上的，亦要求有学士学位,False,0,False,0,2
18,"新闻传播学类,中国语言文学类,法学类","新闻传播学类,中国语言文学类,法学类",综合管理,二年,学士,本科及以上,19,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）新闻发布处,1610019,综合管理岗位（副主任科员及以下）,参与做好上海市政府新闻发布筹备工作，本市重大活动、重要会议报道工作；参与做好突发事件新闻应对、现场处置、媒体服务与管理工作等。做好中外媒体记者服务工作等,具有较强的文字采编能力及沟通能力,本科或研究生专业为国际政治也可；具有媒体工作经历者优先；学位为硕士以上的，亦要求有学士学位,False,0,False,0,1
19,,"文学,法学,哲学",综合管理,二年,硕士,硕士研究生及以上,20,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,市委外宣办（市政府新闻办、市网信办）研究室,1610020,综合管理岗位（主任科员及以下）,从事调研、文字、行政工作,有较强文字能力及一定行政事务处理能力,所学专业为文科类专业即可,False,0,False,0,1
