,专业本科,专业研究生,专业考试,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,"公共管理类,法学类,经济学类  ","公共管理类,法学类,理论经济学类 ",综合管理,二年,学士,本科及以上,1,3,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1510001,主任科员及以下,有较好的政治素质，较强的责任心和保密意识。有较强的沟通协调能力，能吃苦耐劳、甘于奉献，热爱机要工作,有相关工作经历者优先,,False,0,False,0,3
1,"计算机类,电子信息类 ","计算机科学与技术类,信息与通信工程类 ",信息管理,二年,学士,本科及以上,2,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1510002,主任科员及以下,有较好的政治素质，较强的责任心和大局意识。有较强的信息技术能力，能够承担信息系统和网络运行维护等工作,有相关工作经历者优先,,False,0,False,0,1
2,"文学,历史学 ",不限 ,综合管理,二年,学士,本科及以上,3,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,办公室,1510003,办公室综合管理职位主任科员及以下,负责文稿撰写、党史档案、办会、督促检查等工作。,需具有党务和科技项目管理工作经历。有较强的文字功底和组织协调能力。,,False,0,False,0,1
3,不限 ,不限 ,综合管理,二年,学士,本科及以上,4,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,组织干部处,1510004,党建人才工作职位主任科员及以下,协助开展科技系统基层党建和人才工作，协助拟定、实施科技系统党建和人才相关工作制度。,需具有党务工作经历。熟悉党务工作，有一定的政策理论研究功底。具有较强的组织协调与文字表达能力。,,False,0,False,0,1
4,,哲学类 ,综合管理,二年,硕士,硕士研究生及以上,5,1,市科技工作党委,具有两年以上基层工作经历的人员,中共党员,宣传处,1510005,理论学习和思政工作研究职位主任科员及以下,组织本系统干部理论学习工作、科技人员思想动态调研工作和经常性的宣传教育工作。,需具有科技理论与政策研究工作经历，有较高的政治素养，具备较强的组织协调能力和文字写作能力。,,False,0,False,0,1
5,,金融学 ,经济管理,二年,硕士,硕士研究生及以上,6,1,市金融办,具有两年以上基层工作经历的人员,中共党员,业务处室,1510006,主任科员及以下,金融业务管理,政治素质好，责任心强；金融专业功底扎实，熟悉金融法律法规；具有较强的研究分析、文字综合和组织执行能力，外语水平较高。,本科专业要求为经济学或金融学。在校期间担任过学生干部者优先。 ,False,0,False,0,1
6,"哲学,政治学类,中国语言文学类  ",不限 ,综合管理,二年,学士,本科及以上,7,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,办公室,1510007,党务管理职位主任科员及以下,调研和文稿撰写工作。,具有较强的文字工作能力。,有从事文秘或其它文字工作经历优先。 ,False,0,False,0,1
7,"哲学,政治学类,中国语言文学类  ",不限 ,综合管理,二年,学士,本科及以上,8,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,宣传部,1510008,党务管理职位主任科员及以下,机关党建工作,具有较强的文字工作能力,有从事宣传或文字工作经历优先 ,False,0,False,0,1
8,"哲学,政治学类,中国语言文学类  ",不限 ,综合管理,二年,学士,本科及以上,9,1,市级机关工委,具有两年以上基层工作经历的人员,中共党员,研究室,1510009,党务管理职位主任科员及以下,机关党建工作,具有较强的文字工作能力,有从事文秘或其它文字工作经历优先 ,False,0,False,0,1
9,,"中国语言文学类,历史学类,公共管理类 ",综合管理,二年,硕士,硕士研究生及以上,10,1,市档案局,具有两年以上基层工作经历的人员,不限,综合规划处,1510010,综合规划岗位副主任科员职,协助草拟本市及市局（馆）档案事业发展中长期规划，负责规划动态管理；负责档案工作政策、业务问题调查研究，掌握汇总情况，撰写材料,有较强的综合协调能力、分析能力和文字工作能力,,False,0,False,0,1
10,,法学类 ,综合管理,二年,硕士,硕士研究生及以上,11,1,市档案局,具有两年以上基层工作经历的人员,不限,政策法规处,1510011,档案执法岗位副主任科员职,协助办理和实施档案执法、行政诉讼、行政复议等相关工作,具有与行政法相关实践经验,,False,0,False,0,1
11,计算机类 ,"计算机科学与技术类,信息与通信工程类 ",综合管理,二年,学士,本科及以上,12,1,市档案局,具有两年以上基层工作经历的人员,不限,科技教育处,1510012,信息化管理岗位副主任科员及以下职,组织并参与制定档案信息化技术标准、业务规范和发展规划；参与对市级机关、区县档案局馆档案信息化建设业务指导；参与档案信息化科研工作,具有与信息技术相关从业经验,,False,0,False,0,1
12,,不限 ,综合管理,二年,硕士,硕士研究生及以上,13,5,市政府办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,1510013,主任科员及以下,综合岗位。,"工作严谨细致,责任心强；作风正派，政治意识强；熟悉机关公文办理，具有较强的文稿起草能力；善于沟通、联络，具有较好的组织协协能力；能够熟练掌握计算机应用技术。有2年以上基层工作经历。",,False,0,False,0,5
13,,经济学 ,经济管理,二年,硕士,硕士研究生及以上,14,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1510014,经济分析研究，主任科员及以下,编制经济与社会发展计划和中长期规划，从事经济形势分析和政策研究等工作,熟悉经济学、经济管理的基本理论，具有从事经济分析、经济政策研究等相关领域2年以上工作经历（含2年以上基层经历），具有较强的文字综合、经济分析等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,3
14,"经济学类,公共管理类,社会学类  ","应用经济学类,公共管理类,社会学 ",经济管理,二年,学士,本科及以上,15,3,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1510015,经济社会发展规划与管理，主任科员及以下,参与研究起草本市社会事业、社会保障、区域经济发展等方面的规划和政策，从事协调有关领域管理工作。,熟悉区域经济管理、社会学、公共管理学等方面的基本理论，具有从事区域经济、社会事业、社会保障等领域2年以上管理工作经历（含2年以上基层经历），具有较强的文字综合、沟通协调等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,3
15,"城乡规划,地理科学类,土地资源管理  ","城市规划与设计,地理学类,土地资源管理 ",城市建设管理,二年,学士,本科及以上,16,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1510016,城市发展规划与管理，主任科员及以下,参与本市城市发展规划、城市建设管理等领域的政策研究、协调管理等工作。,熟悉规划专业知识，具有从事城市规划、区域规划、城市交通规划等领域2年以上工作经历（含2年以上基层经历），具有较强的政策研究和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,2
16,,"环境工程,技术经济及管理,工学 ",经济管理,二年,硕士,硕士研究生及以上,17,2,市发展改革委,具有两年以上基层工作经历的人员,不限,委机关业务部门,1510017,产业政策规划与管理，主任科员及以下,参与本市相关产业领域与节能减排的政策规划研究、协调管理等工作。,熟悉产业发展、技术经济、战略性新兴产业、低碳经济等领域的专业知识，具有从事相关产业规划、科研开发与管理、节能减排等方面2年以上工作经历（含2年以上基层经历），具有较强的沟通协调等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,兼有工科与经济管理的复合型从业经历者优先 ,False,0,False,0,2
17,"财务管理,会计学,财政学类  ",,财务管理,二年,学士,本科,18,2,市发展改革委,具有两年以上基层工作经历的人员,不限,上海市价格监督检查与反垄断局,1510018,价格监督检查，科员,参与监督检查行政事业性收费、监督检查经营者执行政府价格政策情况和市场定价商品的价格行为，依法查处价格违法行为等工作。,熟悉价格管理、财会以及与经济相关专业的基本理论，具有财会或审计工作经历，熟悉行政执法工作程序，具有较强的文字综合和协调管理等能力；具有一定的上海工作、学习经历，对上海社会、经济发展情况较为熟悉。政治素质好，身体健康。,,False,0,False,0,2
