,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
0,,法学类 ,政法,二年,硕士,硕士研究生及以上,1,3,市纪委、市监委,具有两年以上基层工作经历的人员,中共党员,市纪委监委机关及派驻机构,2010001,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上政法相关基层工作经历，有较好的文字综合能力。,服从统一分配。 ,False,0,False,0,3
1,,"中国语言文学类,新闻传播学类,哲学类 ",综合管理,二年,硕士,硕士研究生及以上,2,3,市纪委、市监委,具有两年以上基层工作经历的人员,中共党员,市纪委监委机关及派驻机构,2010002,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有较好的文字综合能力。,服从统一分配。 ,False,0,False,0,3
2,,"应用经济学类,工商管理类,会计学 ",财经管理,二年,硕士,硕士研究生及以上,3,2,市纪委、市监委,具有两年以上基层工作经历的人员,中共党员,市纪委监委机关及派驻机构,2010003,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,1.全日制硕士研究生，主要专业成绩为良好以上；2.具有两年以上财务管理相关基层工作经历；3.同等条件下，取得经济师、审计师、会计师等资格者优先。,服从统一分配。 ,False,0,False,0,2
3,,计算机科学与技术类 ,信息管理,二年,硕士,硕士研究生及以上,4,1,市纪委、市监委,具有两年以上基层工作经历的人员,中共党员,市纪委监委机关及派驻机构,2010004,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,全日制硕士研究生，主要专业成绩为良好以上；2.具有较好的文字综合能力。,服从统一分配。 ,False,0,False,0,1
4,,"土地资源管理,公共管理类,行政管理 ",城市建设管理,二年,硕士,硕士研究生及以上,5,1,市纪委、市监委,具有两年以上基层工作经历的人员,中共党员,市纪委监委机关及派驻机构,2010005,专案查办,主要从事需要有专业知识背景为支撑的专门案件查办工作。,全日制硕士研究生，主要专业成绩为良好以上；2.具有较好的文字综合能力。,服从统一分配。 ,False,0,False,0,1
5,"中国语言文学类,政治学类,工商管理类  ","文学,法学,管理学 ",综合管理,二年,学士,本科及以上,6,2,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,2010006,二级主任科员及以下,从事机关文书管理、文件收发、文稿起草等工作。服从统一分配。,具有信息调研、文稿起草等工作经历。文字综合能力突出的专业可适当放宽。,需值班，男生优先；熟练掌握上海本地语言者优先。 ,False,0,False,0,2
6,"土木工程,建筑类 ","土木工程类,建筑学类 ",城市建设管理,二年,学士,本科及以上,7,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,2010007,二级主任科员及以下,从事后勤管理，房屋更新改造、养护及安全监督管理等工作。服从统一分配。,从事工程建设、房屋维修并负责过一至二项建设或维修项目。有较强的独立工作能力、协调能力、文字表达能力。,需值班，男生优先；熟练掌握上海本地语言者优先。 ,False,0,False,0,1
7,计算机科学与技术 ,计算机科学与技术类 ,信息管理,二年,学士,本科及以上,8,1,市委办公厅,具有两年以上基层工作经历的人员,中共党员,业务处室,2010008,二级主任科员及以下,计算机网络建设与管理。服从统一分配。,有较好的政治素质和保密意识。,,False,0,False,0,1
8,,不限 ,综合管理,二年,硕士,硕士研究生及以上,9,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,理论处,2010009,综合管理二级主任科员及以下,从事马克思主义理论学习、宣传、研究的组织协调工作。,无。,,False,0,False,0,1
9,,"新闻传播学类,中国语言文学类,政治学类 ",综合管理,二年,硕士,硕士研究生及以上,10,1,市委宣传部,具有两年以上基层工作经历的人员,中共党员,新闻处,2010010,综合管理二级主任科员及以下,协助开展全市重大新闻宣传报道、新闻舆论工作队伍管理和媒体融合发展。,法学专业也可报考，有新闻从业经验者优先。,,False,0,False,0,1
